timestamp[ms],left_dx[um],left_dy[um],left_dt[us],motL,right_dx[um],right_dy[um],right_dt[us],motR,waterPin
5721,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5741,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5761,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5781,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5801,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5821,7.471,0.000,20000.000,160,0.000,0.000,20000.000,32,0
5841,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5861,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5881,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5901,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5921,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5941,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5961,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
5981,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6001,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6021,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6041,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6061,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6081,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6101,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6121,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6141,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6161,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6181,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6201,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6221,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6241,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6261,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6281,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6301,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6321,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6341,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6361,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6381,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6401,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6421,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6441,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6461,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6481,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6501,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6521,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6541,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
6561,0.000,0.000,20000.000,32,0.000,0.000,20000.000,32,0
