timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
13101,-8852.646,-14560.176,50000.000,53.00,-10092.764,-3287.059,50000.000,62.00,0
13151,-9293.411,-15023.352,50000.000,58.00,-10473.764,-4086.411,50000.000,73.00,0
13201,-9861.176,-15352.058,50000.000,51.00,-11444.940,-4900.706,50000.000,74.00,0
13251,-10324.353,-15337.116,50000.000,54.00,-12042.588,-3496.235,50000.000,37.00,0
13301,-10526.059,-12386.234,50000.000,49.00,-11034.058,1464.235,50000.000,23.00,0
13351,-9995.646,-6477.000,50000.000,43.00,-9861.176,1157.941,50000.000,37.00,0
13401,-8157.882,-1606.176,50000.000,57.00,-8113.058,-2345.765,50000.000,31.00,0
13451,-5744.882,-433.294,50000.000,44.00,-6596.529,-5640.294,50000.000,52.00,0
13501,-4026.647,-1994.647,50000.000,61.00,-5214.470,-7590.117,50000.000,51.00,0
13551,-2868.706,-4684.059,50000.000,53.00,-4773.706,-9181.353,50000.000,57.00,0
13601,-2599.765,-7776.882,50000.000,35.00,-5027.706,-10294.470,50000.000,82.00,0
13651,-1942.353,-8337.176,50000.000,32.00,-4855.882,-10167.470,50000.000,74.00,0
13701,-1979.706,-4280.647,50000.000,38.00,-3765.176,-8904.940,50000.000,58.00,0
13751,-1979.706,-2368.176,50000.000,50.00,-3414.059,-8337.176,50000.000,66.00,0
13801,-1987.176,-7306.235,50000.000,43.00,-3981.823,-7097.058,50000.000,58.00,0
13851,-3033.059,-12341.411,50000.000,34.00,-5080.000,-6185.646,50000.000,52.00,0
13901,-2950.882,-13387.293,50000.000,23.00,-5729.941,-6932.706,50000.000,37.00,0
13951,-3712.882,-12423.587,50000.000,35.00,-6327.588,-8337.176,50000.000,34.00,0
14001,-3593.353,-12341.411,50000.000,35.00,-6327.588,-8083.176,50000.000,51.00,0
14051,-3406.588,-12565.528,50000.000,48.00,-5991.411,-5804.646,50000.000,53.00,0
14101,-4497.294,-11893.176,50000.000,49.00,-5744.882,-2300.941,50000.000,64.00,0
14151,-5423.646,-10787.528,50000.000,59.00,-6611.470,-2525.059,50000.000,68.00,0
14201,-5767.294,-11213.353,50000.000,81.00,-7537.823,-4728.882,50000.000,66.00,0
14251,-6491.941,-14545.234,50000.000,53.00,-8987.117,-5498.353,50000.000,48.00,0
14301,-6858.000,-14537.764,50000.000,55.00,-8733.117,-3772.647,50000.000,61.00,0
14351,-7590.117,-13715.999,50000.000,45.00,-8673.353,-1187.823,50000.000,59.00,0
14401,-8314.764,-12057.528,50000.000,51.00,-9622.117,-2323.353,50000.000,59.00,0
14451,-8822.764,-12214.411,50000.000,55.00,-10361.705,-4527.176,50000.000,77.00,0
14501,-9778.999,-12961.470,50000.000,62.00,-11347.823,-4415.117,50000.000,54.00,0
14551,-10197.353,-12460.940,50000.000,64.00,-10914.528,-1135.529,50000.000,79.00,0
14601,-10757.646,-12117.293,50000.000,50.00,-11116.234,1225.176,50000.000,37.00,0
