timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],t=0.0510319995
10374460,-14.941,14.941,50123.000,-1.992,-1.992,50123.000,t=12.6296319961
10424583,7.471,-224.118,50122.000,-1.992,-1.992,50124.000,t=12.6797475814
10474681,-328.706,-283.882,50121.000,-1.992,-1.992,50119.000,t=12.7298679351
10524826,-112.059,171.824,50125.000,-1.992,-1.992,50126.000,t=12.7799844741
10574948,-2121.647,-171.824,50125.000,-1.992,-1.992,50124.000,t=12.8301038742
10625080,171.824,1673.412,773.000,-1.992,-1.992,1380.000,t=12.8802204132
10626449,0.000,0.000,49356.000,-1.992,-1.992,48749.000,t=12.9303398132
10675071,97.118,22.412,50136.000,-1.992,-1.992,50137.000,t=12.9804601669
10725323,0.000,29.882,50133.000,-1.992,-1.992,50133.000,t=13.0305719375
10775396,22.412,37.353,50127.000,-1.992,-1.992,50126.000,t=13.0806922912
10825593,14.941,-14.941,50129.000,-1.992,-1.992,50129.000,t=13.1308040618
10875720,-74.706,-59.765,50126.000,-1.992,-1.992,50126.000,t=13.1809244155
10925847,-89.647,44.824,50125.000,-1.992,-1.992,50125.000,t=13.2310323715
10975970,89.647,-67.235,50126.000,-1.992,-1.992,50127.000,t=13.2811441421
11026107,29.882,1733.176,50126.000,-1.992,-1.992,50125.000,t=13.3312482833
11076236,14.941,0.000,772.000,-1.992,-1.992,1380.000,t=13.3813600540
11077534,1912.470,104.588,49360.000,-1.992,-1.992,48752.000,t=13.4314680099
11126374,-67.235,104.588,50130.000,-1.992,-1.992,50130.000,t=13.4815835952
11176499,470.647,0.000,50123.000,-1.992,-1.992,50124.000,t=13.5317039489
11226551,889.000,485.588,50126.000,-1.992,-1.992,50126.000,t=13.5818195343
11276744,597.647,112.059,50127.000,-1.992,-1.992,50126.000,t=13.6319322586
11326874,-82.176,-149.412,50127.000,-1.992,-1.992,50127.000,t=13.6820516586
11377001,-201.706,-186.765,50121.000,-1.992,-1.992,50123.000,t=13.7321681976
11427116,-134.471,1792.941,50129.000,-1.992,-1.992,50127.000,t=13.7822837829
11477253,-1949.823,0.000,50128.000,-1.992,-1.992,50128.000,t=13.8324003219
